post_n,id,owner_id,answer_to,text,likes_count,created_at
1,18017307371285428,5632536493,,42000,3,1710169151000
2,18018373286129222,51992171200,,2626,4,1710167294000
3,18260578324230618,1695796528,,2000 😎,1,1710163832000
4,17906303933941017,11626311422,,1800,0,1710159788000
4,18083115022434020,,17906303933941017,@sheludko.aleksandra перебито,0,1710163551000
5,17950332596769635,1993660160,,"Не знаю за що, але дам 1000",3,1709128596000
6,17986433945628319,46662748646,,1к але їде до Львова,2,1708556364000
6,18017977579973930,,17986433945628319,"@61secoonda перевірте, будь ласка, запити",0,1710751163000
6,18047002642555412,,17986433945628319,@61secoonda ставку прийнято,1,1708557870000
7,18001303046216747,6884505035,,1000 грн.,2,1708979876000
7,18033710665878636,,18001303046216747,@kot_martovskiy1 перевірте будь ласка запити),0,1710706313000
8,17992986236352991,5873601203,,1000,2,1710143188000
8,18033910735836100,,17992986236352991,@mylovanov_t перебито🔨,0,1710153662000
9,17916243206880889,5873601203,,1000,1,1710143238000
10,18030906400911359,583933066,,у нас спільна ставка з @yurii_chopiuk 5000 грн),3,1710151109000
10,18013918511241004,,18030906400911359,@a.lyona.sun 🫢🫶🏽,1,1710151239000
10,18020278220295899,48148167584,,1500,2,1710154104000
11,18011197121073061,11810637306,,1k,1,1710104395000
13,18022245608067725,4532154421,,1000,0,1710165912000
14,17952439859759688,3885867993,,1000,0,1710241704000
14,18231088459249220,,17952439859759688,"@turkeeevych перевірте, будь ласка, запити)",0,1710920102000
14,17911348082824769,3885867993,,1500,0,1710241754000
15,18308567335179824,4436652637,,600,2,1709243144000
16,17952947891752782,5718412049,,2000 й ні гривнею менше,1,1708952446000
16,18012280241191058,,17952947891752782,"@kpetrynka сам Бог велів, аби було дві зустрічі на вареники",1,1708952950000
16,18081230587439540,,17952947891752782,"@kompanietsnazar Назарчик, я уже ж тебе запросила…",1,1708952776000
17,18011249132250516,3595039427,,Ты миллионник ❤❤❤❤,1,1709298013000
18,18042006862670903,226433738,,Які подальші дії?,1,1710409310000
18,18023511281306456,,18042006862670903,@s_bekir написали вам в діректі,0,1710416752000
19,17905433183938936,2985159636,,1200,2,1710001046000
20,18002546579424600,64655533308,,ставка в фейсбуці 1050 грн!,0,1710151480000
21,18060803755476491,1573364380,,1350 ),1,1709751133000
22,18418514473000109,1290563907,,1000,1,1709758223000
23,17991093575398380,5753732874,,5000,1,1710106260000
24,17895846956966979,3174829871,,400 🔥,2,1709036300000
25,17865139101087417,26885000699,,25 чи 26?,0,1708951912000
26,18024480139859948,4113271502,,26000,2,1710173065000
26,17952246347761700,,18024480139859948,"@mark.salabutin вітаємо, це фінальна ставка",1,1710174371000
27,17847221142168477,5787774124,,2000,2,1709586943000
28,18051762442587105,1932216936,,550,1,1710165544000
28,17842626498186410,,18051762442587105,@a.n.n.a.m.e.l нііііі,1,1710166116000
29,17892310970988670,51992171200,,7777,0,1710167119000
30,18418450753015656,39847539865,,2300,1,1710107806000
31,17920903481785805,1643928842,,300,0,1710163573000
32,17860292382070963,4910019411,,500,2,1709050278000
33,18123860233337060,9516001432,,1000,1,1709192991000
34,17928526832837098,4113271502,,24000,2,1710169780000
